SegmentType,Segment,Policies,Exposure,Claims,PoliciesWithClaim,CompleteLossPolicies,CompleteLossExposure,CompleteClaimCost,CompletePositivePolicies,CompletePositiveClaims,CompletePositiveClaimCost,ClaimOccurrenceRate,ClaimFrequency,ClaimsPer100ExposureYears,AverageClaimSeverity,PurePremium,CompleteLossPercentage
Region,R54,19046,11163.408715472715,968,920,18891,11080.213250991841,1305107.78,765,800,1305107.78,0.048304105848997164,0.08671186594273235,8.671186594273236,1631.3847250000001,117.7872438405618,99.18618082537016
Region,R72,31329,14322.166692117673,1348,1264,31050,14230.9212276368,1916138.54,985,1055,1916138.54,0.040346005298605124,0.09411983738060271,9.411983738060272,1816.2450616113745,134.64613494443435,99.10945130709567
Region,R73,17141,7020.108554532525,688,648,16843,6926.683964368591,539385.27,350,369,539385.27,0.037804095443673066,0.09800418250737641,9.800418250737641,1461.7486991869919,77.87063373681265,98.26147832681875
Region,R74,4567,2395.994542256157,259,242,4509,2379.10181001572,280285.14,184,197,280285.14,0.052988832931902784,0.10809707427635291,10.809707427635292,1422.7672081218275,117.81132645103071,98.73001970659075
Region,R82,84752,45347.41728572498,5032,4760,83994,45014.313515233174,10278303.85,4002,4233,10278303.85,0.056163866339437415,0.1109655257386408,11.096552573864079,2428.1369832270257,228.33412413413228,99.10562582593921
Region,R83,5287,2322.8842286099257,189,181,5241,2305.084228609926,183974.83000000002,135,141,183974.83000000002,0.03423491583128428,0.08136436490126006,8.136436490126005,1304.7860283687944,79.81262797973568,99.12994136561377
Region,R91,35805,14736.104176959354,1547,1389,35350,14596.874067669736,2030911.08,934,1068,2030911.08,0.038793464599916214,0.10498025675054692,10.498025675054693,1901.6021348314607,139.13328775632968,98.72922776148583
Region,R93,79315,35790.321015046036,3907,3625,78443,35527.589047832924,6871024.8,2753,2986,6871024.8,0.04570383912248629,0.10916359197665539,10.916359197665539,2301.0799732083055,193.399692581141,98.90058626993633
Region,R94,4516,1765.9353993562393,247,220,4405,1730.6872026349279,464582.55,109,132,464582.55,0.048715677590788306,0.13986921610498454,13.986921610498454,3519.5647727272726,268.4381957020799,97.54207263064659
VehBrand,B1,162736,95351.05957781272,8677,8177,161068,94126.88586196571,14462378.14,6509,6898,14462378.14,0.05024702585783109,0.09100056190690779,9.100056190690779,2096.6045433458976,153.6476853298711,98.97502703765608
VehBrand,B10,17707,9496.014123063103,858,817,17622,9448.40865858223,1683301.31,732,765,1683301.31,0.04613994465465635,0.09035369881308025,9.035369881308025,2200.3938692810457,178.15712368357552,99.51996385610211
VehBrand,B11,13585,6887.817278987948,721,681,13530,6854.657278987948,2228920.37,626,664,2228920.37,0.05012881854987118,0.1046775735761009,10.46775735761009,3356.8077861445786,325.16875450979336,99.59514170040485
VehBrand,B12,166024,64808.60871846695,8859,8256,161594,63487.66893704618,8747094.58,3826,4200,8747094.58,0.049727750204789666,0.13669480297724187,13.669480297724187,2082.6415666666667,137.77627571542345,97.33171107791645
VehBrand,B13,12178,6772.032215734711,649,613,12076,6711.788554532525,1161629.56,511,539,1161629.56,0.05033667268845459,0.09583533854018866,9.583533854018867,2155.1568831168834,173.07302674419654,99.16242404335688
VehBrand,B14,4047,2274.467743094543,166,160,4014,2252.362278613669,221752.69,127,131,221752.69,0.03953545836422041,0.07298410826180701,7.298410826180701,1692.7686259541986,98.4533847443445,99.18458117123795
VehBrand,B2,159861,94864.0571008309,8560,8128,158219,93631.9633849839,18800701.57,6486,6804,18800701.57,0.05084417087344631,0.0902343865696318,9.02343865696318,2763.1836522633744,200.79362741436583,98.9728576701009
VehBrand,B3,53395,28592.876331312225,2818,2671,53028,28382.828025301296,5197982.07,2304,2429,5197982.07,0.05002341043168836,0.09855601679758226,9.855601679758227,2139.967916838205,183.13827168196082,99.31266972562975
VehBrand,B4,25179,13775.496079796392,1312,1254,24978,13656.166954113332,2546351.21,1053,1099,2546351.21,0.04980340760157274,0.09524157913443303,9.524157913443302,2316.9710737033665,186.4616344070853,99.20171571547718
VehBrand,B5,34753,19992.062694812485,2020,1915,34418,19772.33996257205,2901047.93,1580,1662,2901047.93,0.05510315656202342,0.10104009930521812,10.104009930521812,1745.5162033694346,146.7225394410335,99.0360544413432
VehBrand,B6,28548,15684.953599071787,1462,1388,28349,15568.098134590913,1957513.74,1189,1252,1957513.74,0.04861986829199944,0.09321034906258946,9.321034906258946,1563.509376996805,125.73878472994595,99.30292840128907
DrivAgeBand,Under 21,6816,2584.5828385358186,643,600,6793,2576.0928385358184,8287047.970000001,577,617,8287047.970000001,0.0880281690140845,0.24878289463697875,24.878289463697875,13431.19606158833,3216.905790829392,99.66255868544602
DrivAgeBand,21-24,23382,9904.578246126208,1721,1576,23083,9800.239065798338,3453752.91,1277,1393,3453752.91,0.06740227525446925,0.17375802959334513,17.375802959334514,2479.3631801866477,352.41516934553005,98.72123855957574
DrivAgeBand,25-29,58807,25785.260579384685,2899,2729,58190,25571.709595778128,4606636.81,2112,2245,4606636.81,0.04640604009726733,0.11242857100764575,11.242857100764574,2051.954035634744,180.14582844944212,98.95080517625453
DrivAgeBand,30-39,168564,82358.128465454,7350,6978,167019,81804.41737255783,11324214.63,5433,5725,11324214.63,0.04139673951733466,0.08924437862964596,8.924437862964595,1978.028756331878,138.43035613134055,99.08343418523529
DrivAgeBand,40-49,165702,87685.66605359683,9041,8583,163366,86550.78392244928,12291965.06,6247,6566,12291965.06,0.05179780569938806,0.10310693191831144,10.310693191831144,1872.062908924764,142.02026258957716,98.59024031091961
DrivAgeBand,50-59,142600,79910.64845272849,7816,7337,140520,78799.55905382139,10483079.87,5257,5623,10483079.87,0.05145161290322581,0.09780924258953537,9.780924258953537,1864.321513426996,133.03475293357778,98.5413744740533
DrivAgeBand,60-69,67812,40089.86178606183,3722,3509,66642,39369.26173141702,4567690.87,2339,2470,4567690.87,0.051746003657169824,0.09284142758741162,9.284142758741162,1849.2675587044534,116.02175578402941,98.274641656344
DrivAgeBand,70-79,36225,24089.056317089602,2327,2200,35369,23490.01172692567,4102590.18,1344,1423,4102590.18,0.06073153899240856,0.09659988209455704,9.659988209455705,2883.0570484891077,174.65253860632873,97.63699102829537
DrivAgeBand,80+,8105,6091.662724006288,583,548,7914,5931.092724006288,791694.87,357,381,791694.87,0.0676125848241826,0.09570457630598758,9.570457630598758,2077.9392913385827,133.48212662324255,97.6434299814929
VehAgeBand,0,57739,16719.028728946778,5205,4922,53924,15648.756215285575,2344917.42,1107,1181,2344917.42,0.08524567450077071,0.31132191255752995,31.132191255752993,1985.5354953429296,149.84688800439642,93.39268085695977
VehAgeBand,1-2,130408,62457.026618758886,5699,5329,129332,61837.70743843102,9954201.59,4253,4565,9954201.59,0.0408640574197902,0.09124673889436025,9.124673889436025,2180.5479934282585,160.97300502142554,99.17489724556776
VehAgeBand,3-5,132490,72040.12377648028,6743,6352,131174,71194.35279287372,10552899.23,5036,5344,10552899.23,0.0479432409993207,0.09360061652477977,9.360061652477977,1974.7191672904191,148.22663337781344,99.0067174881123
VehAgeBand,6-10,171594,99008.91636050603,9846,9306,169865,97843.61166105248,15805071.87,7577,8009,15805071.87,0.05423266547781391,0.09944558896240481,9.944558896240482,1973.4138931202397,161.53401945904812,98.99238901127079
VehAgeBand,11-15,134063,77990.97540684183,6648,6278,133155,77289.88808443745,17808346.08,5370,5680,17808346.08,0.046828729776299205,0.08524063156436429,8.524063156436428,3135.2721971830983,230.40977961495796,99.32270648874037
VehAgeBand,16-20,43397,25136.158606931658,1685,1616,43186,24979.36587469122,3010392.67,1405,1457,3010392.67,0.03723759706892182,0.06703490482970365,6.7034904829703645,2066.1583184625943,120.51517580957058,99.51379127589465
VehAgeBand,21+,8322,5147.215964518302,276,257,8260,5099.485964518302,432844.31,195,207,432844.31,0.03088199951934631,0.05362122007364213,5.3621220073642135,2091.0353140096618,84.87998849524953,99.25498678202355
BonusMalusBand,Below 60,461239,265064.65389026125,21854,20759,454410,261256.6549831574,28329318.48,13930,14626,28329318.48,0.04500703539813416,0.08244780916375112,8.244780916375111,1936.914978804868,108.4348204711812,98.51942268541906
BonusMalusBand,60-69,73179,34161.97362751703,4326,4067,72483,33892.05537615091,6929821.86,3371,3580,6929821.86,0.05557605323931729,0.12663202797263046,12.663202797263045,1935.7044301675978,204.46744179688682,99.0489074734555
BonusMalusBand,70-79,44853,19642.923858821767,2594,2437,44447,19505.408339696085,4786213.15,2031,2170,4786213.15,0.05433304349764787,0.13205773329081136,13.205773329081136,2205.6281797235024,245.37877221772507,99.09482085925133
BonusMalusBand,80-89,37226,15410.786409910921,2084,1976,36858,15278.61996182349,3229566.18,1608,1698,3229566.18,0.053081179820555525,0.13522995806753552,13.522995806753551,1901.9824381625442,211.3781341554198,99.01144361467792
BonusMalusBand,90-99,34192,14406.915317014747,2181,2026,33833,14285.0425301295,3886775.36,1667,1793,3886775.36,0.0592536265793168,0.15138563335790636,15.138563335790636,2167.7497824874513,272.08706952059487,98.95004679457183
BonusMalusBand,100-109,21489,7146.856447338872,2008,1842,21089,7028.413660453627,10777918.22,1442,1585,10777918.22,0.08571827446600587,0.28096268825263415,28.096268825263415,6799.948403785489,1533.4780706837869,98.13858253059705
BonusMalusBand,110-129,5050,2301.3730032188037,893,821,4992,2284.010270978367,1425912.13,763,830,1425912.13,0.16257425742574258,0.38802923244124704,38.802923244124706,1717.9664216867468,624.3019780244699,98.85148514851485
BonusMalusBand,130-149,576,268.8347121790553,108,92,575,267.8347121790553,410471.38,91,107,410471.38,0.1597222222222222,0.4017338353540722,40.17338353540722,3836.1811214953273,1532.5548233105346,99.82638888888889
BonusMalusBand,150+,209,95.12819672131148,54,40,209,95.12819672131148,132676.41,40,54,132676.41,0.19138755980861244,0.567655036689058,56.7655036689058,2456.9705555555556,1394.7117108578243,100.0
